price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,month,year,bedrooms_squared,bed_bath_rooms,log_sqft_living,sqft_rooms,condition_advanced
221900.0,3.0,1.0,1180.0,5650,1.0,0,0,3,7,1180,0,1955,1955,47.5112,-122.257,1340.0,5650.0,10,2014,9.0,3.0,7.07326971745971,295.0,11730
538000.0,3.0,2.25,2570.0,7242,2.0,0,0,3,7,2170,400,1951,1991,47.721000000000004,-122.319,1690.0,7639.0,12,2014,9.0,6.75,7.851661177889265,489.5238095238095,11826
180000.0,2.0,1.0,770.0,10000,1.0,0,0,3,6,770,0,1933,1933,47.7379,-122.23299999999999,2720.0,8062.0,2,2015,4.0,2.0,6.646390514847729,256.6666666666667,11598
604000.0,4.0,3.0,1960.0,5000,1.0,0,0,5,7,1050,910,1965,1965,47.5208,-122.39299999999999,1360.0,5000.0,12,2014,16.0,12.0,7.580699752224563,280.0,19650
510000.0,3.0,2.0,1680.0,8080,1.0,0,0,3,8,1680,0,1987,1987,47.6168,-122.045,1800.0,7503.0,2,2015,9.0,6.0,7.426549072397305,336.0,11922
1225000.0,4.0,4.5,5420.0,101930,1.0,0,0,3,11,3890,1530,2001,2001,47.6561,-122.005,4760.0,101930.0,5,2014,16.0,18.0,8.597851094433691,637.6470588235294,12006
257500.0,3.0,2.25,1715.0,6819,2.0,0,0,3,7,1715,0,1995,1995,47.3097,-122.32700000000001,2238.0,6819.0,6,2014,9.0,6.75,7.44716835960004,326.6666666666667,11970
291850.0,3.0,1.5,1060.0,9711,1.0,0,0,3,7,1060,0,1963,1963,47.4095,-122.315,1650.0,9711.0,1,2015,9.0,4.5,6.966024187106113,235.55555555555554,11778
229500.0,3.0,1.0,1780.0,7470,1.0,0,0,3,7,1050,730,1960,1960,47.5123,-122.337,1780.0,8113.0,4,2015,9.0,3.0,7.484368643286131,445.0,11760
323000.0,3.0,2.5,1890.0,6560,2.0,0,0,3,7,1890,0,2003,2003,47.3684,-122.031,2390.0,7570.0,3,2015,9.0,7.5,7.5443321080536885,343.6363636363636,12018
662500.0,3.0,2.5,3560.0,9796,1.0,0,0,3,8,1860,1700,1965,1965,47.6007,-122.145,2210.0,8925.0,4,2015,9.0,7.5,8.177515823846075,647.2727272727273,11790
468000.0,2.0,1.0,1160.0,6000,1.0,0,0,4,7,860,300,1942,1942,47.69,-122.292,1330.0,6000.0,5,2014,4.0,2.0,7.05617528410041,386.6666666666667,15536
310000.0,3.0,1.0,1430.0,19901,1.5,0,0,4,7,1430,0,1927,1927,47.7558,-122.229,1780.0,12697.0,5,2014,9.0,3.0,7.265429723253953,357.5,15416
400000.0,3.0,1.75,1370.0,9680,1.0,0,0,4,7,1370,0,1977,1977,47.6127,-122.045,1370.0,10208.0,10,2014,9.0,5.25,7.222566018822171,288.42105263157896,15816
530000.0,5.0,2.0,1810.0,4850,1.5,0,0,3,7,1810,0,1900,1900,47.67,-122.39399999999999,1360.0,4850.0,3,2015,25.0,10.0,7.501082124259871,258.57142857142856,11400
650000.0,4.0,3.0,2950.0,5000,2.0,0,3,3,9,1980,970,1979,1979,47.5714,-122.375,2140.0,4000.0,1,2015,16.0,12.0,7.989560449333865,421.42857142857144,11874
395000.0,3.0,2.0,1890.0,14040,2.0,0,0,3,7,1890,0,1994,1994,47.7277,-121.962,1890.0,14018.0,7,2014,9.0,6.0,7.5443321080536885,378.0,11964
485000.0,4.0,1.0,1600.0,4300,1.5,0,0,4,7,1600,0,1916,1916,47.6648,-122.34299999999999,1610.0,4300.0,5,2014,16.0,4.0,7.3777589082278725,320.0,15328
189000.0,2.0,1.0,1200.0,9850,1.0,0,0,4,7,1200,0,1921,1921,47.3089,-122.21,1060.0,5095.0,12,2014,4.0,2.0,7.090076835776092,400.0,15368
230000.0,3.0,1.0,1250.0,9774,1.0,0,0,4,7,1250,0,1969,1969,47.3343,-122.306,1280.0,8850.0,4,2015,9.0,3.0,7.1308988302963465,312.5,15752
385000.0,4.0,1.75,1620.0,4980,1.0,0,0,4,7,860,760,1947,1947,47.7025,-122.34100000000001,1400.0,4980.0,5,2014,16.0,7.0,7.3901814282264295,281.7391304347826,15576
2000000.0,3.0,2.75,3050.0,44867,1.0,0,4,3,9,2330,720,1968,1968,47.5316,-122.23299999999999,4110.0,20336.0,8,2014,9.0,8.25,8.022896869601457,530.4347826086956,11808
285000.0,5.0,2.5,2270.0,6300,2.0,0,0,3,8,2270,0,1995,1995,47.3266,-122.169,2240.0,7005.0,7,2014,25.0,12.5,7.727535110475448,302.6666666666667,11970
252700.0,2.0,1.5,1070.0,9643,1.0,0,0,3,7,1070,0,1985,1985,47.3533,-122.166,1220.0,8386.0,5,2014,4.0,3.0,6.975413927455952,305.7142857142857,11910
329000.0,3.0,2.25,2450.0,6500,2.0,0,0,4,8,2450,0,1985,1985,47.3739,-122.17200000000001,2200.0,6865.0,11,2014,9.0,6.75,7.803843303538772,466.6666666666667,15880
233000.0,3.0,2.0,1710.0,4697,1.5,0,0,5,6,1710,0,1941,1941,47.3048,-122.21799999999999,1030.0,4705.0,11,2014,9.0,6.0,7.444248649496705,342.0,19410
937000.0,3.0,1.75,2450.0,2691,2.0,0,0,3,8,1750,700,1915,1915,47.6386,-122.36,1760.0,3573.0,6,2014,9.0,5.25,7.803843303538772,515.7894736842105,11490
667000.0,3.0,1.0,1400.0,1581,1.5,0,0,5,8,1400,0,1909,1909,47.6221,-122.314,1860.0,3861.0,12,2014,9.0,3.0,7.24422751560335,350.0,19090
438000.0,3.0,1.75,1520.0,6380,1.0,0,0,3,7,790,730,1948,1948,47.695,-122.304,1520.0,6235.0,6,2014,9.0,5.25,7.326465613840322,320.0,11688
719000.0,4.0,2.5,2570.0,7173,2.0,0,0,3,8,2570,0,2005,2005,47.7073,-122.11,2630.0,6026.0,3,2015,16.0,10.0,7.851661177889265,395.38461538461536,12030
580500.0,3.0,2.5,2320.0,3980,2.0,0,0,3,8,2320,0,2003,2003,47.5391,-122.07,2580.0,3980.0,11,2014,9.0,7.5,7.749322464660356,421.8181818181818,12018
280000.0,2.0,1.5,1190.0,1265,3.0,0,0,3,7,1190,0,2005,2005,47.7274,-122.35700000000001,1390.0,1756.0,12,2014,4.0,3.0,7.081708586105575,340.0,12030
687500.0,4.0,1.75,2330.0,5000,1.5,0,0,4,7,1510,820,1929,1929,47.6823,-122.368,1460.0,5000.0,6,2014,16.0,7.0,7.753623546559746,405.2173913043478,15432
535000.0,3.0,1.0,1090.0,3000,1.5,0,0,4,8,1090,0,1929,1929,47.6889,-122.375,1570.0,5080.0,11,2014,9.0,3.0,6.993932975223189,272.5,15432
